customer_id,company_name,industry,region,tier,contract_type,primary_product,signup_date,last_active_date,days_since_last_active,order_count,avg_order_value,total_revenue,mrr,support_tickets,avg_resolution_hrs,nps_score,discount_pct,churned
CUST-1001,Vertex Logistics #2,Professional & Legal Services,Europe (EMEA),Growth,Annual Prepaid,Enterprise Analytics Suite,2025-01-27,2026-06-28,64,9,1568.6,14117.4,1134.27,1,6.2,6,0.2,0
CUST-1002,Starlight Labs #3,SaaS & Cloud Software,Latin America,Starter,Month-to-Month,Enterprise Analytics Suite,2025-10-08,2026-08-26,5,2,454.67,909.34,77.16,2,40.9,6,23.5,0
CUST-1003,Solstice Networks #4,SaaS & Cloud Software,North America,Mid-Market,Annual Prepaid,API Data Hub,2026-04-18,2026-08-28,3,23,2027.62,46635.26,4259.61,2,14.8,6,23.5,0
CUST-1004,Acro Networks #5,FinTech & Payments,North America,Mid-Market,Annual Prepaid,AI Decision Platform,2025-07-06,2026-08-28,3,20,2792.76,55855.2,4413.21,2,4.4,5,27.6,0
CUST-1005,Vertex Retail Group #6,E-Commerce & Retail,Asia-Pacific,Growth,Annual Prepaid,Enterprise Analytics Suite,2026-04-28,2026-07-23,39,8,1219.9,9759.2,710.31,1,4.0,6,44.0,0
CUST-1006,Terra Technologies #7,SaaS & Cloud Software,North America,Mid-Market,Quarterly,AI Decision Platform,2026-01-18,2026-08-12,19,21,2545.29,53451.09,4161.77,2,4.7,7,7.5,0
CUST-1007,Horizon Networks #8,Healthcare IT,Europe (EMEA),Starter,Annual Prepaid,Enterprise Analytics Suite,2025-06-26,2026-08-29,2,7,640.82,4485.74,332.51,1,10.7,8,22.1,0
CUST-1008,CoreLogic Global #9,Manufacturing & Logistics,Asia-Pacific,Starter,Month-to-Month,AI Decision Platform,2025-09-09,2026-08-13,18,6,549.27,3295.62,209.43,3,9.3,6,33.7,0
CUST-1009,Vanguard Ventures #10,Healthcare IT,Europe (EMEA),Mid-Market,Annual Prepaid,AI Decision Platform,2025-09-19,2026-08-30,1,21,2454.75,51549.75,3456.57,6,19.1,6,7.0,0
CUST-1010,Omni Systems #11,FinTech & Payments,North America,Mid-Market,Annual Prepaid,API Data Hub,2024-12-13,2026-08-08,23,20,1591.57,31831.4,2608.73,1,7.1,5,8.7,0
CUST-1011,Novus Labs #12,SaaS & Cloud Software,Latin America,Growth,Month-to-Month,Enterprise Analytics Suite,2024-10-12,2026-08-17,14,12,842.23,10106.76,851.0,1,2.3,5,35.8,0
CUST-1012,Acro Media #13,SaaS & Cloud Software,Latin America,Growth,Multi-Year,AI Decision Platform,2026-01-06,2026-08-25,6,6,1216.91,7301.46,477.18,2,27.9,8,40.7,0
CUST-1013,Apex Global #14,Healthcare IT,North America,Enterprise,Quarterly,Enterprise Analytics Suite,2026-04-25,2026-07-11,51,34,4661.84,158502.56,13449.56,5,33.4,2,8.1,1
CUST-1014,Aegis Retail Group #15,Manufacturing & Logistics,Europe (EMEA),Growth,Annual Prepaid,Enterprise Analytics Suite,2026-01-07,2026-08-01,30,16,1216.27,19460.32,1222.42,2,17.1,4,11.3,0
CUST-1015,Nexus Ventures #16,E-Commerce & Retail,Asia-Pacific,Enterprise,Multi-Year,Enterprise Analytics Suite,2026-04-07,2026-08-20,11,41,6136.61,251601.01,17621.49,2,21.9,4,8.1,0
CUST-1016,Vertex Labs #17,Healthcare IT,North America,Growth,Multi-Year,Cloud Infrastructure Pro,2026-04-22,2026-08-25,6,14,1320.09,18481.26,1390.28,4,8.0,5,10.3,0
CUST-1017,Apex Ventures #18,E-Commerce & Retail,North America,Growth,Month-to-Month,Security & Compliance Shield,2026-01-31,2026-08-11,20,8,836.04,6688.32,506.44,0,5.1,10,42.0,0
CUST-1018,Pinnacle Global #19,Manufacturing & Logistics,Europe (EMEA),Enterprise,Multi-Year,AI Decision Platform,2026-05-15,2026-06-16,76,31,6784.24,210311.44,18010.24,1,7.8,7,8.6,0
CUST-1019,Novus Technologies #20,SaaS & Cloud Software,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2025-08-18,2026-08-05,26,10,2598.94,25989.4,2042.04,4,9.9,7,3.2,0
CUST-1020,Vanguard Systems #21,Healthcare IT,Europe (EMEA),Growth,Annual Prepaid,AI Decision Platform,2025-08-31,2026-08-20,11,11,766.89,8435.79,578.69,3,21.2,7,35.4,0
CUST-1021,Elevate Media #22,SaaS & Cloud Software,North America,Enterprise,Annual Prepaid,Enterprise Analytics Suite,2025-12-23,2026-08-28,3,32,5468.97,175007.04,15694.6,3,17.8,4,9.8,0
CUST-1022,Solstice Capital #23,FinTech & Payments,Europe (EMEA),Enterprise,Annual Prepaid,AI Decision Platform,2025-11-17,2026-08-28,3,32,6562.35,209995.2,15696.93,2,5.6,8,6.8,0
CUST-1023,Aegis Solutions #24,SaaS & Cloud Software,Europe (EMEA),Growth,Quarterly,Cloud Infrastructure Pro,2026-01-11,2026-08-12,19,9,1066.06,9594.54,644.62,1,10.2,6,6.9,0
CUST-1024,Quantum Systems #25,SaaS & Cloud Software,North America,Growth,Month-to-Month,Cloud Infrastructure Pro,2026-05-11,2026-08-23,8,10,1490.18,14901.8,1140.48,1,5.5,7,6.5,0
CUST-1025,Kinetic Labs #26,Healthcare IT,Europe (EMEA),Mid-Market,Annual Prepaid,Security & Compliance Shield,2025-09-26,2026-08-27,4,20,2207.41,44148.2,3097.48,2,13.4,6,6.6,0
CUST-1026,Vertex Global #27,FinTech & Payments,Europe (EMEA),Mid-Market,Quarterly,Cloud Infrastructure Pro,2025-10-03,2026-08-16,15,25,2457.58,61439.5,4275.52,3,15.0,6,29.3,0
CUST-1027,Solstice Technologies #28,SaaS & Cloud Software,Europe (EMEA),Growth,Month-to-Month,Cloud Infrastructure Pro,2025-04-04,2026-08-21,10,15,1144.38,17165.7,1366.36,2,26.8,4,17.5,0
CUST-1028,Pulse Global #29,Manufacturing & Logistics,Asia-Pacific,Enterprise,Annual Prepaid,Enterprise Analytics Suite,2025-09-18,2026-08-24,7,28,4932.85,138119.8,10954.31,4,20.5,5,7.8,0
CUST-1029,Novus Systems #30,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Month-to-Month,Cloud Infrastructure Pro,2024-11-21,2026-07-20,42,14,3332.27,46651.78,3209.66,3,7.5,4,8.8,0
CUST-1030,Omni Solutions #31,Healthcare IT,North America,Mid-Market,Multi-Year,Enterprise Analytics Suite,2025-10-09,2026-08-22,9,16,2434.37,38949.92,2994.67,0,12.4,6,9.1,0
CUST-1031,CoreLogic Labs #32,E-Commerce & Retail,North America,Growth,Annual Prepaid,Enterprise Analytics Suite,2025-07-10,2026-07-30,32,8,970.86,7766.88,532.52,0,11.3,8,4.7,0
CUST-1032,Solstice Health #33,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Multi-Year,Cloud Infrastructure Pro,2025-10-21,2026-08-28,3,24,2537.14,60891.36,5421.19,2,12.7,6,1.6,0
CUST-1033,Aegis Solutions #34,SaaS & Cloud Software,North America,Starter,Annual Prepaid,AI Decision Platform,2025-09-19,2026-07-30,32,2,294.61,589.22,36.72,5,12.2,5,23.6,1
CUST-1034,Starlight Retail Group #35,FinTech & Payments,North America,Growth,Annual Prepaid,AI Decision Platform,2024-09-20,2026-08-07,24,6,1193.41,7160.46,551.19,3,12.7,5,19.7,0
CUST-1035,Crestview Cloud #36,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Annual Prepaid,API Data Hub,2026-04-15,2026-07-24,38,21,2452.94,51511.74,4527.7,2,16.8,5,12.2,0
CUST-1036,Elevate Dynamics #37,Manufacturing & Logistics,Asia-Pacific,Mid-Market,Month-to-Month,Enterprise Analytics Suite,2026-04-22,2026-08-27,4,21,2925.67,61439.07,5209.16,1,22.1,8,13.6,0
CUST-1037,Pinnacle Solutions #38,SaaS & Cloud Software,Asia-Pacific,Mid-Market,Month-to-Month,API Data Hub,2026-01-27,2026-07-24,38,22,3516.08,77353.76,5971.76,2,4.7,6,5.7,0
CUST-1038,Crestview Retail Group #39,Professional & Legal Services,Asia-Pacific,Enterprise,Multi-Year,API Data Hub,2025-11-28,2026-08-27,4,44,6209.78,273230.32,23750.43,3,15.4,5,9.1,0
CUST-1039,Zenith Cloud #40,E-Commerce & Retail,North America,Mid-Market,Multi-Year,AI Decision Platform,2026-03-03,2026-08-25,6,14,2707.05,37898.7,3432.03,4,5.2,6,5.5,0
CUST-1040,Synergy Media #41,Manufacturing & Logistics,Europe (EMEA),Mid-Market,Multi-Year,API Data Hub,2025-03-27,2026-08-25,6,24,1864.32,44743.68,3719.45,8,13.4,5,5.2,0
CUST-1041,Aegis Capital #42,FinTech & Payments,Europe (EMEA),Enterprise,Annual Prepaid,Enterprise Analytics Suite,2025-12-21,2026-08-30,1,32,5627.67,180085.44,14359.72,6,19.4,4,12.5,0
CUST-1042,Stratum Technologies #43,FinTech & Payments,Europe (EMEA),Growth,Quarterly,Cloud Infrastructure Pro,2026-04-25,2026-08-02,29,10,530.42,5304.2,477.5,3,11.2,7,24.5,0
CUST-1043,Acro Networks #44,SaaS & Cloud Software,Asia-Pacific,Growth,Quarterly,API Data Hub,2025-08-10,2026-08-30,1,11,1765.2,19417.2,1249.94,3,9.9,6,5.4,0
CUST-1044,Apex Networks #45,E-Commerce & Retail,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2024-06-20,2026-08-16,15,19,2585.31,49120.89,3705.3,0,8.0,8,4.6,0
CUST-1045,Kinetic Global #46,Healthcare IT,Europe (EMEA),Enterprise,Month-to-Month,Enterprise Analytics Suite,2024-12-01,2026-07-14,48,38,5829.51,221521.38,20784.8,5,28.6,3,19.1,1
CUST-1046,Solstice Capital #47,FinTech & Payments,North America,Growth,Quarterly,Cloud Infrastructure Pro,2024-12-22,2026-05-22,101,8,1452.71,11621.68,883.17,4,5.7,3,45.0,1
CUST-1047,Crestview Cloud #48,Healthcare IT,Europe (EMEA),Growth,Annual Prepaid,AI Decision Platform,2025-10-03,2026-08-25,6,13,1197.98,15573.74,1032.81,3,12.0,6,7.8,0
CUST-1048,CoreLogic Logistics #49,FinTech & Payments,Europe (EMEA),Mid-Market,Multi-Year,API Data Hub,2026-01-21,2026-08-16,15,19,3764.24,71520.56,6532.26,1,10.9,8,4.6,0
CUST-1049,Stratum Capital #50,Professional & Legal Services,Europe (EMEA),Starter,Multi-Year,Cloud Infrastructure Pro,2024-09-18,2026-08-30,1,6,529.06,3174.36,247.44,2,17.2,6,8.2,0
CUST-1050,Crestview Retail Group #51,Professional & Legal Services,Europe (EMEA),Growth,Annual Prepaid,AI Decision Platform,2025-01-14,2026-08-11,20,17,898.78,15279.26,1319.42,1,4.1,7,4.5,0
CUST-1051,Stratum Cloud #52,SaaS & Cloud Software,Europe (EMEA),Growth,Multi-Year,Cloud Infrastructure Pro,2026-05-09,2026-08-21,10,14,1359.84,19037.76,1297.89,2,14.3,6,13.8,0
CUST-1052,Stratum Health #53,E-Commerce & Retail,North America,Mid-Market,Quarterly,Enterprise Analytics Suite,2026-05-06,2026-08-19,12,23,2886.31,66385.13,4497.72,6,7.7,4,40.1,0
CUST-1053,Novus Logistics #54,FinTech & Payments,Europe (EMEA),Enterprise,Quarterly,Cloud Infrastructure Pro,2026-04-04,2026-07-26,36,28,5771.78,161609.84,10901.33,6,9.8,6,25.4,1
CUST-1054,Acro Ventures #55,Manufacturing & Logistics,North America,Mid-Market,Annual Prepaid,Cloud Infrastructure Pro,2025-11-16,2026-08-01,30,15,2099.52,31492.8,2792.42,3,16.5,4,31.4,1
CUST-1055,Omni Labs #56,SaaS & Cloud Software,North America,Mid-Market,Month-to-Month,Enterprise Analytics Suite,2026-06-17,2026-04-14,139,22,2275.46,50060.12,4177.8,1,12.8,3,18.2,1
CUST-1056,Vanguard Retail Group #57,SaaS & Cloud Software,Europe (EMEA),Growth,Annual Prepaid,Security & Compliance Shield,2025-09-27,2026-08-22,9,13,1790.73,23279.49,1559.39,4,4.7,6,9.9,0
CUST-1057,Vanguard Global #58,FinTech & Payments,Europe (EMEA),Mid-Market,Annual Prepaid,AI Decision Platform,2025-10-16,2026-07-24,38,16,1969.81,31516.96,2101.39,0,2.2,6,30.0,0
CUST-1058,Zenith Dynamics #59,Professional & Legal Services,North America,Enterprise,Annual Prepaid,Enterprise Analytics Suite,2025-10-07,2026-08-18,13,35,4646.49,162627.15,14223.89,5,7.6,2,1.9,0
CUST-1059,Pinnacle Health #60,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2025-11-23,2026-08-16,15,18,2976.54,53577.72,3703.22,2,9.7,6,20.6,0
CUST-1060,Kinetic Global #61,FinTech & Payments,Europe (EMEA),Mid-Market,Annual Prepaid,API Data Hub,2024-08-30,2026-07-21,41,21,2206.29,46332.09,3166.01,3,10.2,7,19.0,0
CUST-1061,Omni Cloud #62,Healthcare IT,North America,Enterprise,Annual Prepaid,AI Decision Platform,2026-02-25,2026-08-29,2,48,6455.51,309864.48,28602.8,3,22.4,7,23.2,0
